Name,Host,Sw1,Sw2,Sw3,Sw4,Sw5,Mgmt IP
DNS,host1,10.0.1.2/24,-,-,-,-,10.255.255.1/24
DNS_COL,host1,10.0.1.6/24,-,-,10.0.4.2/24,-,10.255.255.12/24
PROXY,host1,-,10.0.2.2/24,-,-,-,10.255.255.21/24
PROXY_COL,host1,-,10.0.2.6/24,-,10.0.4.3/24,-,10.255.255.22/24
SERVICE,host1,-,-,10.0.3.2/24,-,-,10.255.255.31/24
SERVICE_COL,host1,-,-,10.0.3.6/24,10.0.4.3/24,-,10.255.255.32/24
Kafka,host2,-,-,-,-,10.0.5.2/24,10.255.255.99/24
Kafdrop,host2,-,-,-,-,10.0.5.6/24,10.255.255.100/24
Minio,host2,-,-,-,-,10.0.5.9/24,10.255.255.101/24
ML-Worker1,host2,-,-,-,-,10.0.5.11/24,10.255.255.51/24
ML-Worker2,host2,-,-,-,-,10.0.5.12/24,10.255.255.52/24
ML-Worker3,host2,-,-,-,-,10.0.5.13/24,10.255.255.53/24
